value_type,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,Used Well,RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP1(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),RNP2(nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Primary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Secondary Activator (nM),Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 2 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names,Sec Act Spacer 3 Names
column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,RNP1 (nM),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,RNP2 (nM),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Sec Act Spacer 1 Names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,A,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,A,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,A,(-),(-),NCR035,NCR035,NCR036,NCR036,NCR037,NCR037,NCR038,NCR038,NCR039,NCR039,NCR040,NCR040,NCR041,NCR041,NCR042,NCR042,NCR043,NCR043,NCR044,NCR044,NCR045,NCR045,(-),(-),NCR046,NCR046,NCR047,NCR047,NCR048,NCR048,NCR049,NCR049,NCR050,NCR050,NCR051,NCR051,NCR052,NCR052,NCR053,NCR053,NCR054,NCR054,NCR055,NCR055,NCR056,NCR056,(-),(-),NCR057,NCR057,NCR058,NCR058,NCR059,NCR059,NCR060,NCR060,NCR061,NCR061,NCR062,NCR062,NCR063,NCR063,NCR064,NCR064,NCR065,NCR065,NCR066,NCR066,NCR067,NCR067
B,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,B,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,B,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,12.8nM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,B,(-),(-),NCR035,NCR035,NCR036,NCR036,NCR037,NCR037,NCR038,NCR038,NCR039,NCR039,NCR040,NCR040,NCR041,NCR041,NCR042,NCR042,NCR043,NCR043,NCR044,NCR044,NCR045,NCR045,(-),(-),NCR046,NCR046,NCR047,NCR047,NCR048,NCR048,NCR049,NCR049,NCR050,NCR050,NCR051,NCR051,NCR052,NCR052,NCR053,NCR053,NCR054,NCR054,NCR055,NCR055,NCR056,NCR056,(-),(-),NCR057,NCR057,NCR058,NCR058,NCR059,NCR059,NCR060,NCR060,NCR061,NCR061,NCR062,NCR062,NCR063,NCR063,NCR064,NCR064,NCR065,NCR065,NCR066,NCR066,NCR067,NCR067
C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,C,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,C,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,C,(-),(-),NCR035,NCR035,NCR036,NCR036,NCR037,NCR037,NCR038,NCR038,NCR039,NCR039,NCR040,NCR040,NCR041,NCR041,NCR042,NCR042,NCR043,NCR043,NCR044,NCR044,NCR045,NCR045,(-),(-),NCR046,NCR046,NCR047,NCR047,NCR048,NCR048,NCR049,NCR049,NCR050,NCR050,NCR051,NCR051,NCR052,NCR052,NCR053,NCR053,NCR054,NCR054,NCR055,NCR055,NCR056,NCR056,(-),(-),NCR057,NCR057,NCR058,NCR058,NCR059,NCR059,NCR060,NCR060,NCR061,NCR061,NCR062,NCR062,NCR063,NCR063,NCR064,NCR064,NCR065,NCR065,NCR066,NCR066,NCR067,NCR067
D,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,D,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,D,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,3.2nM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,D,(-),(-),NCR035,NCR035,NCR036,NCR036,NCR037,NCR037,NCR038,NCR038,NCR039,NCR039,NCR040,NCR040,NCR041,NCR041,NCR042,NCR042,NCR043,NCR043,NCR044,NCR044,NCR045,NCR045,(-),(-),NCR046,NCR046,NCR047,NCR047,NCR048,NCR048,NCR049,NCR049,NCR050,NCR050,NCR051,NCR051,NCR052,NCR052,NCR053,NCR053,NCR054,NCR054,NCR055,NCR055,NCR056,NCR056,(-),(-),NCR057,NCR057,NCR058,NCR058,NCR059,NCR059,NCR060,NCR060,NCR061,NCR061,NCR062,NCR062,NCR063,NCR063,NCR064,NCR064,NCR065,NCR065,NCR066,NCR066,NCR067,NCR067
E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,E,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,E,(-),(-),NCR035,NCR035,NCR036,NCR036,NCR037,NCR037,NCR038,NCR038,NCR039,NCR039,NCR040,NCR040,NCR041,NCR041,NCR042,NCR042,NCR043,NCR043,NCR044,NCR044,NCR045,NCR045,(-),(-),NCR046,NCR046,NCR047,NCR047,NCR048,NCR048,NCR049,NCR049,NCR050,NCR050,NCR051,NCR051,NCR052,NCR052,NCR053,NCR053,NCR054,NCR054,NCR055,NCR055,NCR056,NCR056,(-),(-),NCR057,NCR057,NCR058,NCR058,NCR059,NCR059,NCR060,NCR060,NCR061,NCR061,NCR062,NCR062,NCR063,NCR063,NCR064,NCR064,NCR065,NCR065,NCR066,NCR066,NCR067,NCR067
F,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,F,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,20nM,F,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.8nM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,F,(-),(-),NCR035,NCR035,NCR036,NCR036,NCR037,NCR037,NCR038,NCR038,NCR039,NCR039,NCR040,NCR040,NCR041,NCR041,NCR042,NCR042,NCR043,NCR043,NCR044,NCR044,NCR045,NCR045,(-),(-),NCR046,NCR046,NCR047,NCR047,NCR048,NCR048,NCR049,NCR049,NCR050,NCR050,NCR051,NCR051,NCR052,NCR052,NCR053,NCR053,NCR054,NCR054,NCR055,NCR055,NCR056,NCR056,(-),(-),NCR057,NCR057,NCR058,NCR058,NCR059,NCR059,NCR060,NCR060,NCR061,NCR061,NCR062,NCR062,NCR063,NCR063,NCR064,NCR064,NCR065,NCR065,NCR066,NCR066,NCR067,NCR067
